"FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
38755908,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",25,11,2024,01,01,2025,09,""Sant Andreu"",63,""Navas"",,""Carrer"",""de Biscaia"",0383,431890,4585512,,,""WEB"",""IMMEDIATA""
38755913,""QUEIXA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor disciplina viària"",28,11,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Carrer"",""Gran de Sant Andreu"",0337,432248,4587660,,,""WEB"",""EMAIL""
38755907,""QUEIXA"",""Prevenció i seguretat"",""Molèsties espai públic"",""Persones  col·lectius molestant espai públic"",29,11,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",034,""Carrer"",""de Bartrina"",0013,432076,4588026,,,""TELÈFON"",""EMAIL""
38755914,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""Tracte rebut"",29,11,2024,01,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""CARTA""
38755912,""QUEIXA"",""Prevenció i seguretat"",""Molèsties espai públic"",""Persones  col·lectius molestant espai públic"",30,11,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",028,""Carrer"",""del Cinca"",0064,432522,4587833,,,""INSTÀNCIA"",""EMAIL""
38755911,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",02,12,2024,01,01,2025,09,""Sant Andreu"",63,""Navas"",,""Carrer"",""de Biscaia"",0383,431890,4585512,,,""WEB"",""IMMEDIATA""
38755903,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Semàfors"",""Semàfor incidències"",03,12,2024,01,01,2025,10,""Sant Martí"",70,""el Besòs i el Maresme"",,""Carrer"",""del Maresme"",0024,434489,4584805,,,""MÒBIL"",""IMMEDIATA""
38755905,""QUEIXA"",""Mobilitat"",""Trànsit"",""Trànsit talls sense previ avís"",04,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",020,""Carrer"",""de Santa Coloma"",0068,432530,4586747,,,""TELÈFON"",""EMAIL""
38755906,""QUEIXA"",""Mobilitat"",""Trànsit"",""Trànsit talls sense previ avís"",04,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",022,""Carrer"",""de Santa Coloma"",0036,432554,4586853,,,""TELÈFON"",""EMAIL""
38755904,""QUEIXA"",""Prevenció i seguretat"",""Incompliment d'ordenances a l'espai privat"",""Ocupació habitatges"",04,12,2024,01,01,2025,09,""Sant Andreu"",62,""el Congrés i els Indians"",081,""Carrer"",""de Pinar del Río"",0019,431681,4585961,,,""FULLS QUEIXES I SUGGERIMENTS"",""EMAIL""
38755909,""QUEIXA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor disciplina viària"",05,12,2024,01,01,2025,09,""Sant Andreu"",63,""Navas"",,""Carrer"",""de las Navas de Tolosa"",0371,431677,4585539,,,""WEB"",""EMAIL""
38755910,""QUEIXA"",""Prevenció i seguretat"",""Molèsties soroll a la via pública"",""Concentració persones fent soroll"",07,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",053,""Plaça"",""Pl de Nadal"",0001,432183,4586703,,,""TELÈFON"",""EMAIL""
38756907,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""Tracte rebut"",11,12,2024,01,01,2025,,,,,,,,,,,,,""INSTÀNCIA TELEMÀTICA"",""EMAIL""
38756908,""QUEIXA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor disciplina viària"",12,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Rambla"",""Rbla de L'onze de Setembre"",0019,432648,4586788,,,""WEB"",""EMAIL""
38756906,""QUEIXA"",""Prevenció i seguretat"",""Incompliment d'ordenances a l'espai públic"",""Drogues"",13,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Carrer"",""de Bartrina"",0042,432085,4588009,,,""WEB"",""EMAIL""
38756905,""QUEIXA"",""Prevenció i seguretat"",""Incompliment d'ordenances a l'espai públic"",""Drogues"",13,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Carrer"",""de Bartrina"",0042,432085,4588009,,,""WEB"",""EMAIL""
38756904,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""Disconforme actuació agent"",16,12,2024,01,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38756903,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",16,12,2024,01,01,2025,08,""Nou Barris"",49,""Canyelles"",064,""Carrer"",""D'antonio Machado"",0039,430675,4588420,,,""TELÈFON"",""IMMEDIATA""
38758903,""INCIDENCIA"",""Mobilitat"",""Bicicletes"",""Bicicleta abandonada"",18,12,2024,01,01,2025,08,""Nou Barris"",52,""la Prosperitat"",,""Carrer"",""dels Nou Pins"",0017,431636,4588210,,,""MÒBIL"",""IMMEDIATA""
38758904,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",20,12,2024,01,01,2025,08,""Nou Barris"",49,""Canyelles"",,""Carrer"",""de Miguel Hernández"",0003,430075,4588140,,,""WEB"",""IMMEDIATA""
38761903,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",25,12,2024,01,01,2025,08,""Nou Barris"",53,""la Trinitat Nova"",,""Carrer"",""D'alhucemas"",0044,431737,4588814,,,""WEB"",""IMMEDIATA""
38761904,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",25,12,2024,01,01,2025,08,""Nou Barris"",53,""la Trinitat Nova"",,""Carrer"",""D'alhucemas"",0044,431737,4588814,,,""WEB"",""IMMEDIATA""
38761905,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",28,12,2024,01,01,2025,08,""Nou Barris"",44,""Vilapicina i la Torre Llobeta"",,""Carrer"",""de L'escultor Llimona"",0052,430424,4586585,,,""WEB"",""IMMEDIATA""
38765921,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Sacs i contenidors runa"",""Sacs de runa que obstaculitzen el pas"",30,12,2024,01,01,2025,09,""Sant Andreu"",59,""el Bon Pastor"",,""Carrer"",""de la Ciutat D'asunción"",0045,433167,4587942,,,""WEB"",""EMAIL""
38765907,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",30,12,2024,01,01,2025,09,""Sant Andreu"",57,""la Trinitat Vella"",005,""Plaça"",""Pl de Josep Andreu i Abelló"",0008,432364,4588782,,,""TELÈFON"",""IMMEDIATA""
38765905,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera tapa"",31,12,2024,01,01,2025,03,""Sants-Montjuïc"",18,""Sants"",090,""Passatge"",""Ptge de Serra i Arola"",0015,427683,4580906,,,""TELÈFON"",""SMS""
38765912,""PETICIO DE SERVEI"",""Gestions municipals"",""Recollida i neteja de l'espai urbà"",""Rec. animals morts en espais privats (PAGAMENT)"",31,12,2024,01,01,2025,,,,,,,,,,,,,""TELÈFON"",""IMMEDIATA""
38765920,""QUEIXA"",""Prevenció i seguretat"",""Incompliment d'ordenances a l'espai públic"",""Consum de begudes alcohòliques"",31,12,2024,01,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Plaça"",""Pl de Can Galta Cremat"",0001,432098,4587990,,,""WEB"",""EMAIL""
38765904,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera tapa"",31,12,2024,01,01,2025,01,""Ciutat Vella"",01,""el Raval"",008,""Carrer"",""de L'aurora"",0007,430469,4581156,,,""TELÈFON"",""NO VOL RESPOSTA""
38765903,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Emergència ciutat"",""Falla subministrament"",31,12,2024,01,01,2025,10,""Sant Martí"",72,""Sant Martí de Provençals"",110,""Rambla"",""Rbla de Guipúscoa"",0048,432783,4585144,,,""CORREU ELECTRÒNIC"",""NO VOL RESPOSTA""
38765906,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera tapa"",31,12,2024,01,01,2025,03,""Sants-Montjuïc"",14,""la Font de la Guatlla"",044,""Carrer"",""de Sant Fructuós"",0034,428613,4580336,,,""TELÈFON"",""SMS""
38765913,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Recollida paper cartó/vidre/reciclables"",""contenidors de paper i cartó/vidre/reciclables"",01,01,2025,01,01,2025,10,""Sant Martí"",64,""el Camp de l'Arpa del Clot"",,""Carrer"",""del Degà Bahí"",0047,431836,4584799,,,""MÒBIL"",""EMAIL""
38765908,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",01,01,2025,01,01,2025,09,""Sant Andreu"",59,""el Bon Pastor"",,""Carrer"",""de Josep Finestres"",0007,433639,4587130,,,""WEB"",""IMMEDIATA""
38765918,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Recollida animals morts"",""Recollida animals morts espai públic"",01,01,2025,01,01,2025,03,""Sants-Montjuïc"",13,""la Marina de Port"",032,""Passeig"",""Pg de la Zona Franca"",0068,428296,4578559,,,""TELÈFON"",""SMS""
38765909,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",01,01,2025,01,01,2025,09,""Sant Andreu"",59,""el Bon Pastor"",,""Carrer"",""de Josep Finestres"",0016,433560,4587201,,,""WEB"",""IMMEDIATA""
38765915,""PETICIO DE SERVEI"",""Gestions municipals"",""Recollida i neteja de l'espai urbà"",""Rec. animals morts en espais privats (PAGAMENT)"",01,01,2025,01,01,2025,,,,,,,,,,,,,""TELÈFON"",""IMMEDIATA""
38765911,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Calçada"",""Calçada incidències"",01,01,2025,01,01,2025,09,""Sant Andreu"",61,""la Sagrera"",,""Carrer"",""de Berenguer de Palou"",0037,432453,4586123,,,""MÒBIL"",""EMAIL""
38765919,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Neteja carrers i/o places"",""Objectes a netejar / retirar"",01,01,2025,01,01,2025,10,""Sant Martí"",66,""el Parc i la Llacuna del Poblenou"",,""Carrer"",""dels Almogàvers"",0215,432848,4583712,,,""MÒBIL"",""EMAIL""
38765922,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Ascensors urbans"",""Ascensor urbà incidències"",01,01,2025,01,01,2025,07,""Horta-Guinardó"",40,""Montbau"",094,""Carrer"",""de la Poesia"",0001,428440,4587056,,,""TELÈFON"",""NO VOL RESPOSTA""
38765910,""INCIDENCIA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor abandonats"",01,01,2025,01,01,2025,09,""Sant Andreu"",59,""el Bon Pastor"",,""Carrer"",""de Fra Juníper Serra"",0064,433169,4587360,,,""WEB"",""IMMEDIATA""
38765917,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Neteja carrers i/o places"",""Objectes a netejar / retirar"",01,01,2025,01,01,2025,05,""Sarrià-Sant Gervasi"",25,""Sant Gervasi - la Bonanova"",045,""Carrer"",""de Mandri"",0060,427460,4584078,,,""TELÈFON"",""EMAIL""
38765916,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Neteja carrers i/o places"",""Objectes a netejar / retirar"",01,01,2025,01,01,2025,03,""Sants-Montjuïc"",11,""el Poble-sec"",024,""Avinguda"",""Av de la Reina Maria Cristina"",0001,429002,4580516,,,""TELÈFON"",""EMAIL""
38765914,""PETICIO DE SERVEI"",""Gestions municipals"",""Recollida i neteja de l'espai urbà"",""Rec. animals morts en espais privats (PAGAMENT)"",01,01,2025,01,01,2025,,,,,,,,,,,,,""TELÈFON"",""IMMEDIATA""
38755966,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",17,07,2024,02,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""EMAIL""
38755936,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",18,07,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755944,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",27,07,2024,02,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""EMAIL""
38755964,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",28,07,2024,02,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""EMAIL""
38755950,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",29,07,2024,02,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""EMAIL""
38756970,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",30,07,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38755965,""QUEIXA"",""Serveis socials"",""Aplicació llei dependència"",""Desacord individual pla d'atenció"",31,07,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755958,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",01,08,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755948,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",02,08,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
