Data_Referencia,Codi_Pais,Nom_Pais,Nombre_Vols
2024-01-01,1,Espanya,237
2024-01-01,2,Itàlia,92
2024-01-01,3,Regne Unit,78
2024-01-01,4,França,79
2024-01-01,5,Alemanya,55
2024-01-01,6,Portugal,36
2024-01-01,7,Països Baixos,34
2024-01-01,8,Suïssa,25
2024-01-01,9,Bèlgica,20
2024-01-01,10,Marroc,25
2024-01-01,11,Estats Units,15
2024-01-01,12,Àustria,10
2024-01-01,13,Irlanda,9
2024-01-01,14,Polònia,14
2024-01-01,15,Turquia,9
2024-01-01,16,Dinamarca,8
2024-01-01,17,Romania,6
2024-01-01,18,Grècia,8
2024-01-01,19,Suècia,10
2024-01-01,20,Emirats Àrabs Units,6
2024-01-01,21,Txèquia,8
2024-01-01,22,Hongria,8
2024-01-01,23,Qatar,5
2024-01-01,25,Noruega,2
2024-01-01,26,Algèria,2
2024-01-02,1,Espanya,242
2024-01-02,2,Itàlia,93
2024-01-02,3,Regne Unit,69
2024-01-02,4,França,66
2024-01-02,5,Alemanya,61
2024-01-02,6,Portugal,37
2024-01-02,7,Països Baixos,34
2024-01-02,8,Suïssa,21
2024-01-02,9,Bèlgica,23
2024-01-02,10,Marroc,20
2024-01-02,11,Estats Units,15
2024-01-02,12,Àustria,8
2024-01-02,13,Irlanda,13
2024-01-02,14,Polònia,12
2024-01-02,15,Turquia,9
2024-01-02,16,Dinamarca,6
2024-01-02,17,Romania,8
2024-01-02,18,Grècia,4
2024-01-02,19,Suècia,2
2024-01-02,20,Emirats Àrabs Units,6
2024-01-02,21,Txèquia,6
2024-01-02,22,Hongria,8
2024-01-02,23,Qatar,6
2024-01-02,25,Noruega,4
2024-01-02,26,Algèria,4
2024-01-03,1,Espanya,241
2024-01-03,2,Itàlia,103
2024-01-03,3,Regne Unit,80
2024-01-03,4,França,79
2024-01-03,5,Alemanya,53
2024-01-03,6,Portugal,38
2024-01-03,7,Països Baixos,28
2024-01-03,8,Suïssa,20
2024-01-03,9,Bèlgica,20
2024-01-03,10,Marroc,18
2024-01-03,11,Estats Units,14
2024-01-03,12,Àustria,10
2024-01-03,13,Irlanda,10
2024-01-03,14,Polònia,18
2024-01-03,15,Turquia,14
2024-01-03,16,Dinamarca,6
2024-01-03,17,Romania,14
2024-01-03,18,Grècia,6
2024-01-03,19,Suècia,6
2024-01-03,20,Emirats Àrabs Units,6
2024-01-03,21,Txèquia,10
2024-01-03,22,Hongria,8
2024-01-03,23,Qatar,6
2024-01-03,25,Noruega,2
2024-01-03,26,Algèria,4
2024-01-04,1,Espanya,243
2024-01-04,2,Itàlia,104
2024-01-04,3,Regne Unit,76
2024-01-04,4,França,67
2024-01-04,5,Alemanya,59
2024-01-04,6,Portugal,33
2024-01-04,7,Països Baixos,37
2024-01-04,8,Suïssa,23
2024-01-04,9,Bèlgica,16
2024-01-04,10,Marroc,18
